Percentile,CMAX_dBZ,SDRR_dBZ,Difference_dBZ
100,62,61.883,19.617
99.95,45,54.663,-9.663
99.9,42.684,52.707,-10.023
99.85,41.077,52.224,-11.147
99.8,39.876,51.535,-11.659
99.75,38.877,50.668,-11.791
99.7,38,50.012,-12.012
99.65,37.274,49.745,-12.471
99.6,36.599,49.539,-12.94
99.55,36,49.335,-13.335
99.5,35.5,49.119,-13.619
99.45,35,48.85,-13.85
99.4,34.5,48.545,-14.045
99.35,34.049,48.242,-14.193
99.3,33.636,47.974,-14.338
99.25,33.245,47.762,-14.517
99.2,32.874,47.572,-14.698
99.15,32.5,47.382,-14.882
99.1,32.126,47.182,-15.056
99.05,31.801,46.948,-15.148
99,31.487,46.674,-15.187
98.95,31.131,46.371,-15.24
98.9,30.839,46.055,-15.216
98.85,30.5,45.734,-15.233
98.8,30.222,45.411,-15.189
98.75,29.953,45.093,-15.14
98.7,29.634,44.781,-15.147
98.65,29.378,44.479,-15.101
98.6,29.067,44.185,-15.117
98.55,28.82,43.9,-15.08
98.5,28.517,43.64,-15.123
98.45,28.273,43.412,-15.138
98.4,28,43.212,-15.212
98.35,27.736,43.043,-15.308
98.3,27.496,42.914,-15.418
98.25,27.202,42.812,-15.61
98.2,26.966,42.717,-15.751
98.15,26.674,42.626,-15.952
98.1,26.441,42.536,-16.096
98.05,26.149,42.445,-16.296
98,25.918,42.352,-16.434
97.95,25.631,42.255,-16.624
97.9,25.405,42.153,-16.749
97.85,25.121,42.042,-16.92
97.8,24.9,41.917,-17.017
97.75,24.622,41.784,-17.162
97.7,24.406,41.649,-17.243
97.65,24.136,41.521,-17.385
97.6,23.927,41.411,-17.484
97.55,23.665,41.311,-17.646
97.5,23.463,41.21,-17.747
97.45,23.209,41.106,-17.897
97.4,23,40.993,-17.993
97.35,22.768,40.872,-18.104
97.3,22.523,40.75,-18.227
97.25,22.339,40.631,-18.292
97.2,22.098,40.518,-18.42
97.15,21.924,40.412,-18.488
97.1,21.689,40.308,-18.619
97.05,21.5,40.202,-18.702
